Day,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
35,10767,24893,0.567468766319849,912,2394,0.6190476190476191,532,983,0.4587995930824008,1100,883,0.24575311438278602,1078,934,0.1541755888650964,20,156,0.8717948717948718,1332,77,16.2987012987013,0.5874534120518486,30320,30318,30319,15741,0
36,10857,25203,0.5692179502440186,1013,2394,0.576858813700919,613,986,0.3782961460446247,1249,984,0.2693089430894309,1144,952,0.2016806722689075,20,195,0.8974358974358975,1827,96,18.03125,0.599272939725405,30810,30808,30809,16723,0
37,10939,25513,0.5712381922941245,1137,2394,0.525062656641604,673,989,0.3195146612740142,1375,1086,0.2661141804788214,1204,971,0.2399588053553039,23,235,0.902127659574468,2188,116,17.862068965517242,0.6054691243650768,31304,31302,31303,17539,0
38,11030,25823,0.5728614026255663,1247,2394,0.47911445279866327,744,992,0.25,1465,1187,0.23420387531592257,1248,989,0.26188068756319516,26,274,0.9051094890510949,2552,135,17.903703703703705,0.6098826785770453,31794,31792,31793,18312,0
39,11095,26133,0.5754410132782306,1362,2394,0.43107769423558895,811,995,0.1849246231155779,1561,1288,0.21195652173913038,1299,1007,0.2899702085402185,27,313,0.9137380191693291,2827,155,17.238709677419354,0.6125944740428695,32285,32283,32284,18982,0
40,11160,26443,0.577960140679953,1472,2463,0.4023548518067398,864,997,0.13340020060180546,1656,1390,0.19136690647482024,1358,1025,0.32487804878048787,29,352,0.9176136363636364,3134,174,17.011494252873565,0.6177572085375879,32844,32842,32843,19673,0
41,11240,26753,0.5798602025941015,1599,2533,0.36873272799052503,929,1000,0.07099999999999995,1739,1491,0.16633132126089878,1404,1043,0.346116970278044,31,391,0.9207161125319693,3393,193,16.580310880829014,0.6193156303326048,33404,33402,33403,20335,0
42,11314,27063,0.5819384399364447,1709,2602,0.3431975403535742,1005,1003,0.001994017946161497,1798,1592,0.12939698492462304,1445,1061,0.36192271442035806,30,431,0.9303944315545244,3663,213,16.197183098591548,0.6208043811094099,33965,33963,33964,20964,0
43,11375,27373,0.5844445256274431,1831,2671,0.31448895544739797,1071,1005,0.06567164179104479,1864,1694,0.10035419126328216,1480,1079,0.3716404077849862,30,470,0.9361702127659575,3904,232,15.827586206896552,0.6252932827390435,34524,34522,34523,21555,0
44,11433,27683,0.5870028537369505,1943,2740,0.2908759124087591,1160,1008,0.1507936507936507,1940,1795,0.08077994428969348,1511,1097,0.3773928896991796,32,509,0.93713163064833,4195,251,15.713147410358566,0.6322045493415427,35083,35081,35082,22214,0
